n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
14,14,1.00,87.95,92.84,95.03,85.28,0
14,14,1.00,87.78,92.66,90.52,89.32,1
14,14,1.00,87.93,92.78,95.00,85.17,2
14,14,1.00,88.03,92.70,95.00,85.13,3
14,14,1.00,87.65,92.86,89.06,90.86,4
14,14,1.00,87.95,92.75,90.73,89.39,5
14,14,1.00,87.73,92.47,88.91,90.72,6
14,14,1.00,87.91,92.80,90.49,89.62,7
14,14,1.00,87.92,92.74,95.11,85.00,8
14,14,1.00,87.85,92.68,90.33,89.57,9
14,14,1.00,88.03,92.89,95.26,85.30,10
14,14,1.00,87.99,92.78,94.92,85.26,11
14,14,1.00,87.85,92.79,94.86,85.23,12
14,14,1.00,87.95,92.78,90.74,89.43,13
14,14,1.00,87.94,92.80,94.97,85.25,14
14,14,1.00,87.83,92.77,90.53,89.47,15
14,14,1.00,87.73,92.93,89.29,90.82,16
14,14,1.00,87.49,92.47,90.09,89.39,17
14,14,1.00,87.83,92.75,95.02,85.01,18
14,14,1.00,87.65,92.76,95.12,84.66,19
14,14,1.00,87.83,92.93,89.39,90.86,20
14,14,1.00,87.94,92.77,90.61,89.52,21
14,14,1.00,88.09,92.78,89.05,91.39,22
14,14,1.00,87.80,92.79,95.39,84.63,23
14,14,1.00,87.81,92.76,94.89,85.11,24
14,14,1.00,87.91,92.82,90.51,89.63,25
14,14,1.00,87.80,92.76,95.01,84.99,26
14,14,1.00,87.58,92.38,90.41,89.05,27
14,14,1.00,87.89,92.81,95.31,84.87,28
14,14,1.00,87.98,92.76,94.95,85.19,29
14,14,1.00,87.97,92.83,95.09,85.22,30
14,14,1.00,87.92,92.78,90.62,89.49,31
14,14,1.00,87.82,92.77,94.96,85.06,32
14,14,1.00,87.63,92.79,95.22,84.60,33
14,14,1.00,87.87,92.81,95.02,85.12,34
14,14,1.00,87.94,92.83,90.58,89.61,35
14,14,1.00,87.94,92.84,95.00,85.28,36
14,14,1.00,87.77,92.67,90.45,89.39,37
14,14,1.00,88.00,92.88,95.28,85.17,38
14,14,1.00,87.83,92.79,95.18,84.86,39
14,14,1.00,87.79,92.76,94.91,85.07,40
14,14,1.00,87.69,92.57,90.47,89.22,41
14,14,1.00,87.89,92.81,95.13,85.04,42
14,14,1.00,87.86,92.78,90.59,89.44,43
14,14,1.00,87.89,92.80,94.97,85.18,44
14,14,1.00,88.07,92.82,95.06,85.30,45
14,14,1.00,87.85,92.92,89.47,90.80,46
14,14,1.00,88.10,92.82,95.17,85.29,47
14,14,1.00,87.93,92.75,94.88,85.26,48
14,14,1.00,87.71,92.54,90.38,89.30,49
14,14,1.00,87.95,92.70,88.96,91.13,50
14,14,1.00,87.73,92.68,90.44,89.38,51
14,14,1.00,87.94,92.85,94.97,85.34,52
14,14,1.00,87.70,92.52,90.11,89.54,53
14,14,1.00,87.97,92.82,95.07,85.21,54
14,14,1.00,87.99,92.82,90.73,89.55,55
14,14,1.00,87.93,92.83,94.99,85.27,56
14,14,1.00,87.96,92.85,90.66,89.58,57
14,14,1.00,87.70,92.58,94.92,84.80,58
14,14,1.00,87.98,92.69,94.92,85.13,59
14,14,1.00,87.69,92.63,94.92,84.85,60
14,14,1.00,88.05,92.74,95.00,85.21,61
14,14,1.00,87.88,92.73,94.90,85.15,62
14,14,1.00,88.01,92.70,95.04,85.08,63
14,14,1.00,88.08,92.91,95.29,85.41,64
14,14,1.00,88.03,92.77,95.06,85.18,65
14,14,1.00,87.82,92.65,94.75,85.14,66
14,14,1.00,87.93,92.79,90.53,89.60,67
14,14,1.00,88.01,92.61,88.85,91.22,68
14,14,1.00,87.86,92.76,95.37,84.68,69
14,14,1.00,87.78,92.72,95.00,84.92,70
14,14,1.00,87.85,92.80,95.38,84.73,71
14,14,1.00,87.99,92.88,95.33,85.10,72
14,14,1.00,87.99,92.82,90.81,89.47,73
14,14,1.00,87.64,92.58,94.67,84.99,74
14,14,1.00,88.10,92.84,95.18,85.32,75
14,14,1.00,87.91,92.83,95.13,85.08,76
14,14,1.00,87.87,92.76,95.35,84.72,77
14,14,1.00,88.10,92.74,89.04,91.36,78
14,14,1.00,88.02,92.83,90.71,89.62,79
14,14,1.00,87.90,92.81,95.16,85.03,80
14,14,1.00,87.91,92.77,90.60,89.48,81
14,14,1.00,88.04,92.78,89.07,91.26,82
14,14,1.00,88.00,92.70,94.94,85.16,83
14,14,1.00,87.93,92.74,94.83,85.28,84
14,14,1.00,87.88,92.70,90.38,89.59,85
14,14,1.00,88.06,92.90,95.33,85.29,86
14,14,1.00,87.99,92.83,90.58,89.68,87
14,14,1.00,88.05,92.67,88.93,91.26,88
14,14,1.00,87.85,92.70,90.69,89.26,89
14,14,1.00,87.89,92.80,94.97,85.19,90
14,14,1.00,87.97,92.79,90.75,89.46,91
14,14,1.00,87.93,92.83,94.90,85.36,92
14,14,1.00,87.99,92.74,95.02,85.13,93
14,14,1.00,87.98,92.73,88.94,91.23,94
14,14,1.00,87.97,92.71,94.97,85.10,95
14,14,1.00,87.76,92.70,94.77,85.11,96
14,14,1.00,87.97,92.59,94.90,85.03,97
14,14,1.00,88.09,92.90,95.36,85.35,98
14,14,1.00,87.95,92.69,94.96,85.07,99
