r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.44,156.96,0.00,22.17,0.00,a,3.25,156.36,1.16,21.97,0.00,b,0
3.34,137.72,0.00,19.54,0.00,a,3.27,137.42,-3.16,19.33,0.00,e,1
3.26,147.80,0.00,22.76,0.00,a,3.42,149.77,1.25,22.55,0.00,b,2
3.25,158.45,0.00,25.53,0.00,a,3.55,142.07,1.38,28.66,0.00,e,3
3.41,137.14,0.00,10.61,0.00,a,3.61,160.30,-4.71,10.00,0.00,b,4
3.29,158.82,0.00,16.93,0.00,a,3.35,152.21,-3.04,16.56,0.00,e,5
3.54,143.72,0.00,14.64,0.00,a,3.39,121.72,-4.45,14.70,0.00,b,6
3.42,150.51,0.00,22.38,0.00,a,3.25,151.96,-3.37,22.27,0.00,e,7
3.25,149.18,0.00,19.45,0.00,a,3.40,142.82,1.45,18.93,0.00,b,8
3.27,138.98,0.00,22.83,0.00,a,3.41,140.18,-3.33,22.57,0.00,e,9
3.40,168.83,0.00,22.40,0.00,a,3.26,174.34,1.25,22.48,0.00,b,10
3.50,155.43,0.00,30.00,0.00,a,3.25,142.70,1.12,30.00,0.00,e,11
3.45,142.55,0.00,24.77,0.00,a,3.25,149.92,1.03,24.93,0.00,b,12
3.31,157.33,0.00,18.68,0.00,a,3.32,155.24,-3.10,18.74,0.00,e,13
3.33,151.43,0.00,21.92,0.00,a,3.35,151.38,1.18,21.69,0.00,b,14
3.36,139.46,0.00,23.04,0.00,a,3.29,147.24,-3.28,23.14,0.00,e,15
3.58,148.92,0.00,10.00,0.00,a,3.43,175.84,-4.65,10.00,0.00,b,16
3.37,117.26,0.00,23.32,0.00,a,3.27,121.75,-3.40,23.67,0.00,e,17
3.39,143.25,0.00,19.96,0.00,a,3.25,140.43,1.30,19.82,0.00,b,18
3.62,143.19,0.00,10.00,0.00,a,3.39,165.49,1.30,10.15,0.00,e,19
3.45,155.22,0.00,10.00,0.00,a,3.54,181.59,-4.56,10.00,0.00,b,20
3.31,154.31,0.00,19.92,0.00,a,3.34,152.20,-3.19,19.72,0.00,e,21
3.40,174.79,0.00,27.74,0.00,a,3.37,154.63,-4.77,28.15,0.00,b,22
3.49,152.53,0.00,10.85,0.00,a,3.56,180.04,1.51,11.22,0.00,e,23
3.41,138.70,0.00,23.13,0.00,a,3.25,143.54,1.12,23.16,0.00,b,24
3.43,150.54,0.00,22.51,0.00,a,3.25,154.35,-3.38,22.94,0.00,e,25
3.38,138.02,0.00,22.03,0.00,a,3.25,143.25,1.25,22.01,0.00,b,26
3.35,126.53,0.00,15.15,0.00,a,3.28,121.27,-2.99,14.97,0.00,e,27
3.34,154.39,0.00,14.79,0.00,a,3.29,145.67,1.57,14.08,0.00,b,28
3.47,152.77,0.00,30.00,0.00,a,3.27,140.89,1.17,29.90,0.00,e,29
3.28,152.16,0.00,24.30,0.00,a,3.40,159.35,1.23,24.10,0.00,b,30
3.33,150.85,0.00,20.94,0.00,a,3.31,151.92,-3.20,20.78,0.00,e,31
3.39,139.72,0.00,22.33,0.00,a,3.25,143.96,1.19,22.38,0.00,b,32
3.78,146.35,0.00,10.00,0.00,a,3.25,171.23,1.30,10.08,0.00,e,33
3.39,144.23,0.00,23.39,0.00,a,3.26,150.93,1.18,23.66,0.00,b,34
3.34,148.61,0.00,24.68,0.00,a,3.33,157.77,-3.33,24.94,0.00,e,35
3.45,156.03,0.00,21.83,0.00,a,3.25,154.04,1.14,21.60,0.00,b,36
3.31,134.06,0.00,21.79,0.00,a,3.33,138.00,-3.23,21.46,0.00,e,37
3.36,165.14,0.00,19.77,0.00,a,3.27,163.44,1.36,19.54,0.00,b,38
3.47,152.78,0.00,12.97,0.00,a,3.53,176.38,1.30,11.44,0.00,e,39
3.42,135.58,0.00,25.03,0.00,a,3.25,145.42,1.12,25.05,0.00,b,40
3.36,131.56,0.00,18.57,0.00,a,3.25,130.12,-3.12,18.35,0.00,e,41
3.38,148.63,0.00,20.02,0.00,a,3.25,148.11,1.33,19.78,0.00,b,42
3.38,144.14,0.00,21.42,0.00,a,3.26,148.70,-3.24,21.41,0.00,e,43
3.43,150.12,0.00,20.77,0.00,a,3.25,146.21,1.19,20.42,0.00,b,44
3.41,166.47,0.00,29.44,0.00,a,3.33,150.97,1.22,29.54,0.00,e,45
3.31,152.78,0.00,10.35,0.00,a,3.73,185.14,-4.47,10.02,0.00,b,46
3.39,178.03,0.00,26.74,0.00,a,3.39,155.99,1.32,25.66,0.00,e,47
3.25,145.87,0.00,23.89,0.00,a,3.45,148.52,1.16,23.61,0.00,b,48
3.27,128.65,0.00,20.60,0.00,a,3.35,129.51,-3.15,20.42,0.00,e,49
3.59,158.10,0.00,24.99,0.00,a,3.25,137.49,-4.73,23.41,0.00,b,50
3.37,132.41,0.00,21.59,0.00,a,3.25,136.66,-3.27,22.01,0.00,e,51
3.48,153.60,0.00,24.60,0.00,a,3.25,161.98,1.04,24.68,0.00,b,52
3.28,126.17,0.00,23.70,0.00,a,3.41,127.91,-3.39,23.61,0.00,e,53
3.27,152.12,0.00,23.67,0.00,a,3.40,157.33,1.24,23.53,0.00,b,54
3.40,164.90,0.00,19.42,0.00,a,3.25,161.30,-3.18,19.10,0.00,e,55
3.44,153.61,0.00,22.53,0.00,a,3.25,154.11,1.13,22.38,0.00,b,56
3.39,155.35,0.00,22.72,0.00,a,3.25,161.43,-3.28,22.62,0.00,e,57
3.26,128.67,0.00,19.49,0.00,a,3.35,128.39,1.40,19.30,0.00,b,58
3.39,153.86,0.00,27.27,0.00,a,3.38,137.78,1.27,27.41,0.00,e,59
3.34,130.58,0.00,19.70,0.00,a,3.27,130.20,1.33,19.54,0.00,b,60
3.31,162.59,0.00,26.65,0.00,a,3.47,144.61,1.31,27.61,0.00,e,61
3.25,139.81,0.00,24.51,0.00,a,3.43,145.59,1.19,24.46,0.00,b,62
3.36,158.30,0.00,26.54,0.00,a,3.43,141.12,1.37,25.57,0.00,e,63
3.44,183.62,0.00,20.95,0.00,a,3.25,179.10,1.26,20.67,0.00,b,64
3.42,162.61,0.00,27.75,0.00,a,3.37,145.42,1.30,28.46,0.00,e,65
3.26,136.65,0.00,22.11,0.00,a,3.43,136.07,1.17,21.87,0.00,b,66
3.44,154.73,0.00,21.17,0.00,a,3.25,152.05,-3.32,20.71,0.00,e,67
3.27,150.21,0.00,29.96,0.00,a,3.47,139.18,-4.75,29.95,0.00,b,68
3.25,153.24,0.00,10.00,0.00,a,3.77,179.95,1.57,10.00,0.00,e,69
3.36,137.43,0.00,19.83,0.00,a,3.26,136.79,1.32,19.59,0.00,b,70
3.42,157.11,0.00,10.00,0.00,a,3.60,188.02,1.47,10.00,0.00,e,71
3.40,167.71,0.00,16.96,0.00,a,3.25,159.99,1.44,16.63,0.00,b,72
3.34,163.63,0.00,18.84,0.00,a,3.28,161.36,-3.09,18.62,0.00,e,73
3.38,125.40,0.00,23.05,0.00,a,3.29,128.64,1.10,23.02,0.00,b,74
3.46,183.18,0.00,25.97,0.00,a,3.35,158.16,1.31,25.82,0.00,e,75
3.42,155.51,0.00,17.79,0.00,a,3.25,147.75,1.34,16.09,0.00,b,76
3.27,153.65,0.00,10.48,0.00,a,3.72,178.86,1.53,10.00,0.00,e,77
3.25,174.44,0.00,26.85,0.00,a,3.54,153.71,-4.69,28.02,0.00,b,78
3.26,163.40,0.00,21.48,0.00,a,3.39,164.21,-3.20,21.31,0.00,e,79
3.34,148.91,0.00,20.13,0.00,a,3.28,149.63,1.36,19.92,0.00,b,80
3.41,152.29,0.00,20.15,0.00,a,3.25,149.65,-3.22,19.77,0.00,e,81
3.53,170.71,0.00,25.18,0.00,a,3.27,148.03,-4.72,24.52,0.00,b,82
3.40,156.01,0.00,27.57,0.00,a,3.38,139.03,1.26,27.89,0.00,e,83
3.25,146.56,0.00,22.77,0.00,a,3.46,146.30,1.14,22.67,0.00,b,84
3.28,142.86,0.00,22.29,0.00,a,3.40,143.25,-3.33,21.99,0.00,e,85
3.33,174.58,0.00,20.83,0.00,a,3.32,174.52,1.34,20.79,0.00,b,86
3.25,153.97,0.00,24.65,0.00,a,3.44,161.31,-3.31,24.79,0.00,e,87
3.25,160.91,0.00,26.87,0.00,a,3.53,143.60,-4.69,27.03,0.00,b,88
3.34,147.33,0.00,16.97,0.00,a,3.27,143.38,-3.03,16.54,0.00,e,89
3.42,148.51,0.00,21.99,0.00,a,3.26,148.84,1.16,21.80,0.00,b,90
3.28,158.10,0.00,19.45,0.00,a,3.34,157.02,-3.10,19.26,0.00,e,91
3.45,151.31,0.00,24.60,0.00,a,3.25,157.29,1.01,24.66,0.00,b,92
3.51,160.35,0.00,26.23,0.00,a,3.28,141.61,1.27,25.72,0.00,e,93
3.55,160.09,0.00,25.95,0.00,a,3.25,141.64,-4.79,26.02,0.00,b,94
3.48,155.81,0.00,25.99,0.00,a,3.31,138.25,1.27,26.06,0.00,e,95
3.41,135.22,0.00,22.61,0.00,a,3.26,137.01,1.09,22.53,0.00,b,96
3.26,148.47,0.00,25.84,0.00,a,3.51,133.40,1.38,26.79,0.00,e,97
3.30,180.64,0.00,21.49,0.00,a,3.35,182.41,1.33,21.50,0.00,b,98
3.50,154.78,0.00,25.56,0.00,a,3.30,136.83,1.28,25.66,0.00,e,99
