n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
14,14,1.00,96.54,92.71,96.02,93.12,82
14,14,1.00,97.21,90.79,92.38,96.09,83
14,14,1.00,98.71,92.60,93.54,97.13,84
14,14,1.00,98.64,91.75,91.94,98.04,85
14,14,1.00,98.28,92.54,94.83,95.46,86
14,14,1.00,98.71,90.91,95.94,93.53,87
14,14,1.00,97.93,92.77,98.17,92.06,88
14,14,1.00,98.01,91.70,96.35,93.21,89
14,14,1.00,98.10,92.80,98.47,92.08,90
14,14,1.00,98.35,91.39,94.62,94.96,91
14,14,1.00,97.74,92.89,96.31,93.81,92
14,14,1.00,97.79,91.86,94.67,94.89,93
14,14,1.00,97.72,92.78,96.08,93.90,94
14,14,1.00,97.41,91.38,88.15,100.88,95
14,14,1.00,98.49,92.68,98.87,91.66,96
14,14,1.00,98.77,91.25,91.63,98.12,97
14,14,1.00,98.78,92.82,95.41,95.64,98
14,14,1.00,98.82,91.62,91.86,98.25,99
14,14,1.00,98.15,92.86,97.96,92.52,100
14,14,1.00,97.86,91.62,90.14,99.04,101
14,14,1.00,97.69,92.82,93.38,96.74,102
14,14,1.00,97.87,91.17,89.89,99.23,103
14,14,1.00,97.53,92.85,96.27,93.69,104
14,14,1.00,97.99,91.57,88.31,101.14,105
14,14,1.00,97.29,92.79,91.56,98.20,106
14,14,1.00,97.15,91.26,92.76,95.93,107
14,14,1.00,98.76,92.74,93.59,97.29,108
14,14,1.00,98.77,91.67,97.82,92.28,109
14,14,1.00,98.71,92.71,95.28,95.51,110
14,14,1.00,98.57,90.73,95.73,93.52,111
14,14,1.00,98.17,92.80,91.83,98.55,112
14,14,1.00,98.06,91.79,96.21,93.42,113
14,14,1.00,98.09,92.82,93.60,96.88,114
14,14,1.00,98.04,91.21,94.42,94.87,115
14,14,1.00,97.54,92.68,90.07,99.74,116
14,14,1.00,97.31,91.60,94.33,94.77,117
14,14,1.00,97.02,92.71,91.53,98.05,118
14,14,1.00,97.69,91.41,92.69,96.50,119
14,14,1.00,98.54,92.59,89.09,101.42,120
14,14,1.00,98.82,91.66,91.68,98.47,121
14,14,1.00,98.62,92.69,89.41,101.32,122
14,14,1.00,98.76,91.32,96.08,93.76,123
14,14,1.00,97.94,92.74,91.75,98.39,124
14,14,1.00,98.01,91.63,96.26,93.25,125
14,14,1.00,97.84,92.70,93.51,96.64,126
14,14,1.00,97.76,91.53,94.66,94.50,127
14,14,1.00,97.60,92.76,90.04,99.88,128
14,14,1.00,97.57,91.73,94.54,94.81,129
14,14,1.00,97.37,92.75,91.50,98.30,130
14,14,1.00,96.82,90.94,92.54,95.71,131
14,14,1.00,98.78,92.66,93.55,97.26,132
14,14,1.00,98.78,91.20,91.34,98.36,133
14,14,1.00,98.75,92.87,95.35,95.75,134
14,14,1.00,98.71,91.16,91.60,98.06,135
14,14,1.00,98.10,92.88,97.98,92.45,136
14,14,1.00,98.01,91.36,89.82,99.46,137
14,14,1.00,97.59,92.56,93.23,96.63,138
14,14,1.00,97.99,91.29,94.53,94.80,139
14,14,1.00,97.48,92.78,96.09,93.79,140
14,14,1.00,96.97,91.37,94.10,94.62,141
14,14,1.00,97.31,92.71,95.89,93.80,142
14,14,1.00,97.52,91.21,92.70,96.25,143
14,14,1.00,98.79,92.87,89.43,101.72,144
14,14,1.00,98.71,92.07,92.22,98.15,145
14,14,1.00,98.64,92.80,94.99,95.83,146
14,14,1.00,98.64,91.53,96.20,93.61,147
14,14,1.00,98.01,92.85,98.12,92.22,148
14,14,1.00,97.95,91.67,96.29,93.21,149
14,14,1.00,97.29,92.43,97.60,91.98,150
14,14,1.00,98.02,91.14,94.33,94.91,151
14,14,1.00,96.98,92.69,95.99,93.53,152
14,14,1.00,97.47,91.78,94.41,94.90,153
14,14,1.00,97.40,92.73,96.07,93.65,154
14,14,1.00,97.50,90.93,92.49,96.25,155
14,14,1.00,98.56,92.74,98.92,91.73,156
14,14,1.00,98.67,92.14,92.14,98.26,157
14,14,1.00,98.77,92.81,95.36,95.65,158
14,14,1.00,98.70,91.28,91.68,98.08,159
14,14,1.00,97.74,92.69,98.05,92.01,160
14,14,1.00,97.95,91.50,89.93,99.42,161
14,14,1.00,97.92,92.80,93.53,96.77,162
14,14,1.00,98.28,91.31,94.64,94.85,163
14,14,1.00,97.52,92.87,96.19,93.77,164
14,14,1.00,97.58,91.76,94.55,94.83,165
14,14,1.00,97.50,92.84,91.68,98.25,166
14,14,1.00,97.27,91.13,88.06,100.72,167
14,14,1.00,98.59,92.93,93.97,97.00,168
14,14,1.00,98.59,91.43,97.50,92.28,169
14,14,1.00,98.63,92.68,95.08,95.58,170
14,14,1.00,98.79,91.02,95.98,93.62,171
14,14,1.00,98.09,92.84,98.09,92.31,172
14,14,1.00,98.12,92.01,90.43,99.26,173
14,14,1.00,97.85,92.72,93.50,96.68,174
14,14,1.00,98.15,91.63,94.87,94.61,175
14,14,1.00,97.44,92.81,96.29,93.59,176
14,14,1.00,97.52,91.78,94.49,94.86,177
14,14,1.00,98.05,92.89,96.21,94.09,178
14,14,1.00,96.97,91.44,92.78,95.90,179
14,14,1.00,98.57,92.94,94.06,96.90,180
14,14,1.00,98.71,91.58,97.63,92.34,181
14,14,1.00,98.78,92.81,95.37,95.69,182
14,14,1.00,98.77,91.21,96.09,93.66,183
14,14,1.00,98.11,92.88,98.14,92.32,184
14,14,1.00,97.56,91.45,95.91,93.18,185
14,14,1.00,97.76,92.76,98.17,91.95,186
14,14,1.00,97.81,91.20,94.34,94.82,187
14,14,1.00,97.50,92.70,90.11,99.68,188
14,14,1.00,97.35,91.67,94.35,94.83,189
14,14,1.00,96.86,92.56,91.47,97.95,190
14,14,1.00,97.81,91.20,92.65,96.45,191
14,14,1.00,98.62,92.86,93.87,96.97,192
14,14,1.00,98.71,91.64,97.96,92.10,193
14,14,1.00,98.56,92.76,94.99,95.69,194
14,14,1.00,98.82,91.33,96.13,93.76,195
14,14,1.00,97.61,92.74,97.77,92.19,196
14,14,1.00,97.75,91.60,95.96,93.35,197
14,14,1.00,98.04,92.81,93.64,96.79,198
14,14,1.00,98.11,91.65,94.87,94.59,199
14,14,1.00,97.44,92.85,96.28,93.61,200
14,14,1.00,97.03,91.28,94.16,94.55,201
14,14,1.00,97.62,92.80,91.79,98.20,202
14,14,1.00,97.82,91.26,92.66,96.47,203
14,14,1.00,98.62,92.87,93.94,96.92,204
14,14,1.00,98.87,91.65,91.81,98.39,205
14,14,1.00,98.79,92.86,95.47,95.69,206
14,14,1.00,98.74,91.45,91.69,98.22,207
14,14,1.00,97.95,92.68,91.78,98.33,208
14,14,1.00,98.11,92.06,90.42,99.30,209
14,14,1.00,97.73,92.77,93.39,96.73,210
14,14,1.00,98.15,91.15,94.46,94.86,211
14,14,1.00,97.43,92.79,96.17,93.69,212
14,14,1.00,97.00,91.38,94.03,94.71,213
14,14,1.00,97.02,92.76,91.43,98.16,214
14,14,1.00,97.30,91.82,93.02,96.07,215
14,14,1.00,98.83,92.82,93.70,97.48,216
14,14,1.00,98.76,91.27,91.55,98.20,217
14,14,1.00,98.74,92.82,95.39,95.61,218
14,14,1.00,98.82,91.65,91.89,98.26,219
14,14,1.00,97.96,92.88,92.16,98.16,220
14,14,1.00,97.89,91.62,95.95,93.46,221
14,14,1.00,98.14,92.76,93.74,96.73,222
14,14,1.00,97.95,91.26,94.48,94.81,223
14,14,1.00,97.43,92.81,96.18,93.68,224
14,14,1.00,97.02,91.91,88.25,100.65,225
14,14,1.00,97.37,92.76,96.51,93.27,226
14,14,1.00,96.90,91.52,92.81,95.88,227
14,14,1.00,98.80,92.77,93.65,97.33,228
14,14,1.00,98.79,91.84,97.95,92.33,229
14,14,1.00,98.69,92.69,95.21,95.54,230
14,14,1.00,98.79,91.16,96.01,93.71,231
14,14,1.00,98.08,92.90,92.35,98.14,232
14,14,1.00,97.97,91.72,96.09,93.44,233
14,14,1.00,97.89,92.79,93.36,96.89,234
14,14,1.00,98.13,91.59,94.85,94.58,235
14,14,1.00,97.33,92.92,90.48,99.35,236
14,14,1.00,97.74,91.80,94.44,95.05,237
14,14,1.00,97.37,92.71,91.79,97.97,238
14,14,1.00,97.16,91.21,97.88,90.84,239
14,14,1.00,98.76,92.73,93.59,97.29,240
14,14,1.00,98.81,91.90,97.90,92.45,241
14,14,1.00,98.71,92.74,95.04,95.77,242
14,14,1.00,98.80,91.55,91.83,98.21,243
14,14,1.00,97.53,92.66,97.84,92.04,244
14,14,1.00,97.88,91.69,95.93,93.51,245
14,14,1.00,97.80,92.72,97.84,92.24,246
14,14,1.00,97.66,91.12,89.89,99.06,247
14,14,1.00,97.45,92.81,96.32,93.57,248
14,14,1.00,97.34,91.50,94.33,94.73,249
14,14,1.00,97.00,92.66,91.43,98.09,250
14,14,1.00,97.70,91.18,92.59,96.45,251
14,14,1.00,98.68,92.93,94.11,96.99,252
14,14,1.00,98.76,91.66,97.88,92.22,253
14,14,1.00,98.73,92.81,95.31,95.66,254
14,14,1.00,98.75,91.44,91.66,98.26,255
14,14,1.00,97.94,92.93,92.27,98.14,256
14,14,1.00,97.78,91.53,96.15,93.15,257
14,14,1.00,97.94,92.80,93.54,96.78,258
14,14,1.00,98.07,91.41,90.03,99.37,259
14,14,1.00,97.51,92.87,96.20,93.74,260
14,14,1.00,97.40,91.40,97.97,91.02,261
14,14,1.00,97.63,92.84,96.10,93.84,262
14,14,1.00,97.34,91.50,92.94,96.00,263
14,14,1.00,98.60,92.57,93.36,97.16,264
14,14,1.00,98.65,92.09,92.13,98.21,265
14,14,1.00,98.68,92.76,95.20,95.62,266
14,14,1.00,98.66,91.27,91.58,98.14,267
14,14,1.00,97.96,92.92,92.36,98.04,268
14,14,1.00,97.98,91.88,96.09,93.52,269
14,14,1.00,97.96,92.78,93.58,96.74,270
14,14,1.00,98.12,91.40,94.53,94.95,271
14,14,1.00,97.55,92.83,96.28,93.68,272
14,14,1.00,97.40,91.05,88.20,100.54,273
14,14,1.00,97.34,92.74,96.50,93.27,274
14,14,1.00,97.44,91.62,93.02,96.06,275
14,14,1.00,98.79,92.78,93.53,97.48,276
14,14,1.00,98.80,91.86,97.97,92.35,277
14,14,1.00,98.74,92.76,95.39,95.52,278
14,14,1.00,98.81,91.34,96.12,93.76,279
14,14,1.00,97.87,92.81,97.89,92.30,280
14,14,1.00,97.79,91.09,89.83,99.15,281
14,14,1.00,98.05,92.83,93.57,96.87,282
14,14,1.00,97.99,91.12,94.36,94.85,283
14,14,1.00,97.46,92.93,90.52,99.42,284
14,14,1.00,97.49,91.78,94.52,94.81,285
14,14,1.00,97.50,92.78,91.57,98.32,286
14,14,1.00,97.22,91.37,92.89,95.89,287
14,14,1.00,98.79,92.77,98.86,92.12,288
14,14,1.00,98.63,91.52,97.52,92.36,289
14,14,1.00,98.64,92.80,95.20,95.61,290
14,14,1.00,98.73,91.16,96.09,93.60,291
14,14,1.00,97.91,92.94,92.34,98.06,292
14,14,1.00,97.98,91.71,96.18,93.36,293
14,14,1.00,97.95,92.77,93.56,96.75,294
14,14,1.00,97.88,91.15,94.35,94.81,295
14,14,1.00,97.42,92.79,96.19,93.66,296
14,14,1.00,97.51,91.90,94.32,95.07,297
14,14,1.00,97.70,92.86,91.70,98.33,298
14,14,1.00,97.55,91.04,92.73,96.09,299
14,14,1.00,98.79,92.70,93.53,97.37,300
14,14,1.00,98.66,91.34,91.44,98.31,301
14,14,1.00,98.71,92.79,95.25,95.64,302
14,14,1.00,98.70,91.49,96.42,93.41,303
14,14,1.00,97.30,92.51,97.70,91.95,304
14,14,1.00,98.12,91.88,96.17,93.56,305
14,14,1.00,98.00,92.80,98.41,92.03,306
14,14,1.00,98.04,91.06,94.53,94.67,307
14,14,1.00,97.06,92.70,96.30,93.28,308
14,14,1.00,97.40,91.75,94.38,94.87,309
14,14,1.00,97.21,92.72,91.61,98.06,310
14,14,1.00,97.38,91.10,92.54,96.25,311
14,14,1.00,98.76,92.84,89.43,101.58,312
14,14,1.00,98.52,91.99,91.98,98.13,313
14,14,1.00,98.73,92.76,95.32,95.56,314
14,14,1.00,98.72,91.41,91.66,98.20,315
14,14,1.00,97.72,92.75,97.86,92.18,316
14,14,1.00,97.92,91.32,89.94,99.28,317
14,14,1.00,97.88,92.81,98.33,91.99,318
14,14,1.00,97.98,91.79,94.86,94.65,319
14,14,1.00,97.45,92.84,96.35,93.54,320
14,14,1.00,97.50,92.18,88.67,100.73,321
14,14,1.00,97.64,92.70,96.17,93.66,322
14,14,1.00,97.46,91.61,93.13,95.94,323
14,14,1.00,98.77,92.74,93.57,97.35,324
14,14,1.00,98.73,92.00,92.13,98.19,325
14,14,1.00,98.77,92.81,95.42,95.61,326
14,14,1.00,98.71,91.50,91.58,98.34,327
14,14,1.00,98.05,92.79,91.77,98.51,328
14,14,1.00,97.73,91.47,95.87,93.31,329
14,14,1.00,98.14,92.84,93.65,96.91,330
14,14,1.00,97.83,91.08,94.32,94.77,331
14,14,1.00,96.87,92.83,90.07,99.37,332
14,14,1.00,97.32,91.48,94.43,94.61,333
14,14,1.00,97.85,92.84,96.23,93.87,334
14,14,1.00,97.55,91.16,92.58,96.36,335
14,14,1.00,98.81,92.81,93.63,97.49,336
14,14,1.00,98.69,91.28,91.49,98.23,337
14,14,1.00,98.65,92.64,95.11,95.53,338
14,14,1.00,98.62,91.22,91.54,98.13,339
14,14,1.00,98.01,92.71,91.74,98.44,340
14,14,1.00,98.32,91.97,96.26,93.66,341
14,14,1.00,97.74,92.70,93.31,96.75,342
14,14,1.00,98.06,91.65,94.88,94.55,343
14,14,1.00,97.38,92.84,96.00,93.83,344
14,14,1.00,97.38,91.70,94.24,94.96,345
14,14,1.00,97.33,92.75,91.75,98.01,346
14,14,1.00,97.98,91.56,92.80,96.61,347
14,14,1.00,98.74,92.91,94.19,96.95,348
14,14,1.00,98.70,91.48,97.57,92.31,349
14,14,1.00,98.76,92.83,95.34,95.70,350
14,14,1.00,98.62,91.41,96.34,93.36,351
14,14,1.00,97.83,92.62,91.75,98.24,352
14,14,1.00,98.06,91.54,89.96,99.48,353
14,14,1.00,97.63,92.66,93.45,96.51,354
14,14,1.00,98.14,91.61,94.85,94.60,355
14,14,1.00,96.86,92.70,95.92,93.51,356
14,14,1.00,97.40,91.04,87.85,100.91,357
14,14,1.00,96.97,92.62,91.56,97.94,358
14,14,1.00,97.14,90.81,92.46,95.95,359
14,14,1.00,98.73,92.84,89.23,101.76,360
14,14,1.00,98.79,91.73,97.82,92.35,361
14,14,1.00,98.76,92.81,95.33,95.67,362
14,14,1.00,98.86,91.64,91.96,98.20,363
14,14,1.00,97.64,92.60,91.62,98.22,364
14,14,1.00,97.98,91.66,95.94,93.53,365
14,14,1.00,97.88,92.78,93.48,96.77,366
14,14,1.00,97.94,91.21,90.00,99.19,367
14,14,1.00,97.24,92.78,96.09,93.63,368
14,14,1.00,97.06,91.48,94.04,94.81,369
14,14,1.00,97.73,92.83,96.18,93.80,370
14,14,1.00,97.20,90.92,92.48,96.07,371
14,14,1.00,98.39,92.58,88.80,101.56,372
14,14,1.00,98.82,91.76,97.84,92.39,373
14,14,1.00,98.65,92.85,95.18,95.72,374
14,14,1.00,98.67,91.37,91.67,98.13,375
14,14,1.00,98.10,92.94,92.51,98.14,376
14,14,1.00,98.16,91.90,96.29,93.48,377
14,14,1.00,98.23,92.90,93.70,97.07,378
14,14,1.00,97.65,90.90,94.23,94.61,379
14,14,1.00,97.28,92.57,90.13,99.44,380
14,14,1.00,97.36,91.66,94.37,94.80,381
14,14,1.00,97.66,92.79,91.90,98.10,382
14,14,1.00,97.54,91.64,93.07,96.08,383
14,14,1.00,98.74,92.94,94.23,97.05,384
14,14,1.00,98.78,91.23,91.50,98.23,385
14,14,1.00,98.68,92.74,95.22,95.57,386
14,14,1.00,98.77,91.36,96.13,93.74,387
14,14,1.00,97.84,92.71,91.68,98.36,388
14,14,1.00,98.01,91.84,90.28,99.18,389
14,14,1.00,97.81,92.82,93.21,97.00,390
14,14,1.00,98.12,91.43,94.51,94.98,391
14,14,1.00,97.09,92.94,90.29,99.33,392
14,14,1.00,97.55,91.78,94.56,94.81,393
14,14,1.00,97.42,92.77,91.69,98.12,394
14,14,1.00,97.48,91.44,98.04,91.03,395
14,14,1.00,98.56,92.63,89.13,101.41,396
14,14,1.00,98.61,91.51,97.60,92.25,397
14,14,1.00,98.66,92.73,95.23,95.52,398
14,14,1.00,98.80,91.18,96.01,93.72,399
14,14,1.00,97.93,92.84,97.80,92.44,400
14,14,1.00,97.90,91.73,90.12,99.15,401
14,14,1.00,98.04,92.79,93.62,96.78,402
14,14,1.00,97.82,91.10,90.01,99.05,403
14,14,1.00,97.51,92.87,96.13,93.82,404
14,14,1.00,97.58,91.79,94.46,94.93,405
14,14,1.00,97.28,92.83,96.41,93.31,406
14,14,1.00,97.23,91.13,88.07,100.70,407
14,14,1.00,98.73,92.92,94.12,97.01,408
14,14,1.00,98.59,91.55,97.68,92.19,409
14,14,1.00,98.67,92.71,95.37,95.39,410
14,14,1.00,98.85,91.54,96.29,93.80,411
14,14,1.00,98.19,92.90,98.10,92.45,412
14,14,1.00,97.89,91.56,96.23,93.17,413
14,14,1.00,97.93,92.71,93.61,96.63,414
14,14,1.00,98.06,91.53,94.82,94.50,415
14,14,1.00,96.84,92.92,90.10,99.31,416
14,14,1.00,97.40,91.76,94.35,94.90,417
14,14,1.00,97.30,92.71,91.66,98.08,418
14,14,1.00,97.86,91.30,92.68,96.52,419
14,14,1.00,98.77,92.85,89.33,101.74,420
14,14,1.00,98.65,91.47,97.57,92.27,421
14,14,1.00,98.61,92.64,95.28,95.35,422
14,14,1.00,98.78,91.11,96.12,93.54,423
14,14,1.00,98.07,92.77,91.83,98.43,424
14,14,1.00,98.13,91.84,96.38,93.35,425
14,14,1.00,98.18,92.90,93.72,96.99,426
14,14,1.00,98.19,91.31,94.63,94.83,427
14,14,1.00,97.34,92.89,90.28,99.56,428
14,14,1.00,97.59,91.90,94.41,95.04,429
14,14,1.00,97.74,92.84,91.79,98.30,430
14,14,1.00,97.24,91.08,87.96,100.76,431
14,14,1.00,98.60,92.90,93.98,96.90,432
14,14,1.00,98.75,91.70,97.92,92.21,433
14,14,1.00,98.73,92.74,95.39,95.48,434
14,14,1.00,98.83,91.63,91.98,98.16,435
14,14,1.00,97.72,92.72,97.93,92.11,436
14,14,1.00,98.03,91.80,96.03,93.58,437
14,14,1.00,98.29,92.85,93.84,96.89,438
14,14,1.00,97.74,90.84,94.18,94.67,439
14,14,1.00,97.63,92.72,90.16,99.73,440
14,14,1.00,97.73,91.91,94.67,94.89,441
14,14,1.00,97.30,92.78,96.51,93.23,442
14,14,1.00,97.37,91.38,98.01,90.96,443
14,14,1.00,98.74,92.76,93.75,97.13,444
14,14,1.00,98.76,91.78,97.82,92.38,445
14,14,1.00,98.66,92.80,89.62,101.35,446
14,14,1.00,98.84,91.30,96.18,93.69,447
14,14,1.00,97.96,92.63,91.80,98.29,448
14,14,1.00,97.76,91.23,89.79,99.27,449
14,14,1.00,97.89,92.84,93.47,96.84,450
14,14,1.00,98.02,91.86,94.84,94.72,451
14,14,1.00,97.49,92.73,90.15,99.62,452
14,14,1.00,97.57,91.85,94.46,94.96,453
14,14,1.00,97.27,92.75,91.62,98.12,454
14,14,1.00,97.73,91.23,92.61,96.47,455
14,14,1.00,98.50,92.63,89.06,101.44,456
14,14,1.00,98.72,91.09,91.39,98.19,457
14,14,1.00,98.80,92.82,95.35,95.73,458
14,14,1.00,98.65,91.10,95.91,93.68,459
14,14,1.00,97.86,92.55,91.60,98.37,460
14,14,1.00,97.83,91.55,95.93,93.39,461
14,14,1.00,98.18,92.77,93.71,96.79,462
14,14,1.00,97.77,91.05,94.32,94.71,463
14,14,1.00,97.64,92.70,89.99,99.93,464
14,14,1.00,97.34,91.55,94.31,94.78,465
14,14,1.00,97.43,92.75,91.72,98.07,466
14,14,1.00,97.76,91.27,92.65,96.46,467
14,14,1.00,98.68,92.88,94.08,96.88,468
14,14,1.00,98.72,91.73,97.70,92.42,469
14,14,1.00,98.77,92.81,95.40,95.63,470
14,14,1.00,98.70,91.50,91.71,98.21,471
14,14,1.00,97.85,92.74,97.80,92.33,472
14,14,1.00,97.93,91.62,96.17,93.27,473
14,14,1.00,97.79,92.61,93.37,96.66,474
14,14,1.00,97.84,91.29,89.78,99.39,475
14,14,1.00,97.26,92.78,96.12,93.60,476
14,14,1.00,97.69,91.87,94.52,94.98,477
14,14,1.00,97.50,92.81,91.61,98.31,478
14,14,1.00,97.42,91.01,92.57,96.17,479
14,14,1.00,98.82,92.79,93.69,97.40,480
14,14,1.00,98.74,91.68,97.89,92.21,481
14,14,1.00,98.74,92.76,95.32,95.59,482
14,14,1.00,98.72,91.24,96.08,93.67,483
14,14,1.00,98.00,92.92,92.24,98.19,484
14,14,1.00,98.16,91.91,96.29,93.49,485
14,14,1.00,97.59,92.74,98.00,91.95,486
14,14,1.00,98.04,90.89,94.36,94.71,487
14,14,1.00,97.58,92.82,96.33,93.64,488
14,14,1.00,97.33,91.61,94.52,94.61,489
14,14,1.00,97.07,92.66,91.46,98.09,490
14,14,1.00,97.71,91.18,92.57,96.47,491
14,14,1.00,98.74,92.71,93.50,97.34,492
14,14,1.00,98.74,91.68,97.80,92.30,493
14,14,1.00,98.76,92.80,95.33,95.66,494
14,14,1.00,98.86,91.36,96.12,93.81,495
14,14,1.00,97.92,92.83,97.91,92.34,496
14,14,1.00,98.03,91.81,96.18,93.44,497
14,14,1.00,97.83,92.86,93.45,96.83,498
14,14,1.00,97.89,91.18,90.14,99.02,499
14,14,1.00,97.51,92.84,96.27,93.67,500
14,14,1.00,97.19,91.44,94.33,94.59,501
14,14,1.00,97.52,92.80,91.58,98.32,502
14,14,1.00,97.58,91.10,92.64,96.27,503
14,14,1.00,98.55,92.91,93.91,96.93,504
14,14,1.00,98.76,91.78,97.79,92.42,505
14,14,1.00,98.78,92.79,95.38,95.64,506
14,14,1.00,98.60,91.18,91.56,98.06,507
14,14,1.00,97.77,92.87,92.12,97.99,508
14,14,1.00,97.98,91.75,95.99,93.56,509
14,14,1.00,97.92,92.80,93.51,96.79,510
14,14,1.00,98.03,91.61,94.77,94.62,511
14,14,1.00,97.30,92.80,96.16,93.60,512
14,14,1.00,97.35,92.09,88.58,100.66,513
14,14,1.00,97.67,92.81,91.68,98.32,514
14,14,1.00,97.44,91.53,93.01,96.02,515
14,14,1.00,98.66,92.91,94.08,96.92,516
14,14,1.00,98.72,91.70,97.77,92.30,517
14,14,1.00,98.70,92.75,95.33,95.51,518
14,14,1.00,98.47,91.51,96.21,93.49,519
14,14,1.00,98.30,92.90,98.23,92.47,520
14,14,1.00,97.88,91.68,96.14,93.30,521
14,14,1.00,97.98,92.76,93.67,96.65,522
14,14,1.00,97.59,90.54,94.17,94.35,523
14,14,1.00,97.49,92.56,89.95,99.79,524
14,14,1.00,97.58,91.77,94.34,95.03,525
14,14,1.00,97.12,92.71,91.38,98.21,526
14,14,1.00,97.07,91.41,92.82,95.90,527
14,14,1.00,98.76,92.67,93.55,97.25,528
14,14,1.00,98.77,91.13,91.36,98.28,529
14,14,1.00,98.67,92.81,95.19,95.69,530
14,14,1.00,98.70,91.11,96.02,93.60,531
14,14,1.00,97.98,92.85,97.98,92.33,532
14,14,1.00,98.06,91.59,89.99,99.48,533
