n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
14,14,1.00,98.85,92.82,93.74,97.46,0
14,14,1.00,98.66,91.61,97.64,92.34,1
14,14,1.00,98.71,92.74,95.15,95.68,2
14,14,1.00,98.81,91.39,96.22,93.71,3
14,14,1.00,98.05,92.86,98.10,92.30,4
14,14,1.00,97.74,91.81,90.15,99.09,5
14,14,1.00,97.97,92.85,98.39,92.11,6
14,14,1.00,97.87,90.89,94.45,94.52,7
14,14,1.00,97.40,92.75,96.14,93.68,8
14,14,1.00,97.24,91.56,94.27,94.76,9
14,14,1.00,97.42,92.82,91.71,98.16,10
14,14,1.00,97.26,91.67,92.88,96.11,11
14,14,1.00,98.85,92.79,93.68,97.46,12
14,14,1.00,98.79,91.72,97.79,92.37,13
14,14,1.00,98.72,92.74,95.16,95.67,14
14,14,1.00,98.78,91.42,91.72,98.19,15
14,14,1.00,98.12,92.74,91.87,98.41,16
14,14,1.00,98.06,91.82,96.25,93.40,17
14,14,1.00,97.85,92.70,93.50,96.65,18
14,14,1.00,97.88,91.18,94.44,94.75,19
14,14,1.00,97.64,92.87,96.43,93.61,20
14,14,1.00,97.31,91.55,94.45,94.63,21
14,14,1.00,97.64,92.80,91.64,98.34,22
14,14,1.00,97.67,91.10,92.49,96.48,23
14,14,1.00,98.68,92.75,89.16,101.63,24
14,14,1.00,98.79,91.80,97.94,92.30,25
14,14,1.00,98.66,92.80,89.63,101.33,26
14,14,1.00,98.49,91.47,96.22,93.46,27
14,14,1.00,98.06,92.75,91.85,98.39,28
14,14,1.00,98.14,92.21,90.57,99.32,29
14,14,1.00,97.88,92.78,93.54,96.71,30
14,14,1.00,97.98,91.27,94.40,94.90,31
14,14,1.00,96.90,92.58,96.00,93.43,32
14,14,1.00,97.35,91.66,94.37,94.80,33
14,14,1.00,97.84,92.88,96.20,93.93,34
14,14,1.00,97.27,91.00,92.38,96.29,35
14,14,1.00,98.83,92.80,93.74,97.38,36
14,14,1.00,98.57,91.01,91.33,98.10,37
14,14,1.00,98.72,92.75,95.39,95.47,38
14,14,1.00,98.82,91.46,96.24,93.77,39
14,14,1.00,98.02,92.85,98.09,92.26,40
14,14,1.00,98.14,91.90,96.20,93.53,41
14,14,1.00,98.18,92.84,93.67,96.92,42
14,14,1.00,97.54,90.84,94.23,94.48,43
14,14,1.00,96.71,92.63,95.61,93.67,44
14,14,1.00,97.40,91.70,94.38,94.84,45
14,14,1.00,97.38,92.77,91.61,98.21,46
14,14,1.00,97.46,91.39,88.29,100.79,47
14,14,1.00,98.57,92.70,89.22,101.40,48
14,14,1.00,98.75,91.74,97.97,92.21,49
14,14,1.00,98.76,92.83,95.42,95.62,50
14,14,1.00,98.69,91.18,95.90,93.76,51
14,14,1.00,97.91,92.71,91.77,98.33,52
14,14,1.00,97.91,91.74,96.14,93.36,53
14,14,1.00,97.98,92.73,98.37,91.94,54
14,14,1.00,98.16,91.42,94.50,95.00,55
14,14,1.00,98.04,92.81,90.21,100.07,56
14,14,1.00,97.43,91.67,94.32,94.91,57
14,14,1.00,97.02,92.65,91.56,97.98,58
14,14,1.00,97.56,91.54,88.33,100.89,59
14,14,1.00,98.79,92.87,89.37,101.85,60
14,14,1.00,98.77,91.83,97.88,92.36,61
14,14,1.00,98.72,92.77,95.22,95.66,62
14,14,1.00,98.79,91.18,96.13,93.60,63
14,14,1.00,97.72,92.72,97.86,92.16,64
14,14,1.00,97.40,91.32,95.80,93.09,65
14,14,1.00,98.19,92.85,93.74,96.87,66
14,14,1.00,98.20,91.34,94.57,94.91,67
14,14,1.00,97.94,92.86,90.32,99.85,68
14,14,1.00,97.38,91.97,88.56,100.64,69
14,14,1.00,97.27,92.70,91.62,98.10,70
14,14,1.00,97.76,91.29,92.76,96.37,71
14,14,1.00,98.74,92.81,98.97,91.99,72
14,14,1.00,98.63,91.55,97.54,92.36,73
14,14,1.00,98.75,92.84,95.38,95.67,74
14,14,1.00,98.74,91.69,96.52,93.49,75
14,14,1.00,97.99,92.92,92.38,98.05,76
14,14,1.00,97.58,91.39,95.83,93.24,77
14,14,1.00,97.95,92.77,93.59,96.71,78
14,14,1.00,98.07,91.40,94.47,94.97,79
14,14,1.00,97.54,92.73,90.21,99.61,80
14,14,1.00,97.34,91.60,94.32,94.80,81
