r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.33,145.94,0.00,19.14,0.00,a,3.28,143.81,1.40,18.96,0.00,c,0
3.34,156.72,0.00,21.67,0.00,a,3.31,159.59,1.29,21.70,0.00,c,1
3.28,139.48,0.00,10.10,0.00,a,3.70,176.53,-4.54,10.00,0.00,c,2
3.26,142.71,0.00,21.43,0.00,a,3.40,143.40,1.29,21.38,0.00,c,3
3.40,153.89,0.00,20.63,0.00,a,3.25,152.39,1.27,20.42,0.00,c,4
3.36,172.54,0.00,25.56,0.00,a,3.43,137.79,-4.67,26.46,0.00,c,5
3.40,142.10,0.00,23.13,0.00,a,3.25,155.89,1.22,23.75,0.00,c,6
3.36,145.66,0.00,17.96,0.00,a,3.25,140.64,1.44,17.91,0.00,c,7
3.35,136.58,0.00,10.35,0.00,a,3.63,168.24,-4.58,10.14,0.00,c,8
3.40,151.27,0.00,21.45,0.00,a,3.25,154.64,1.25,21.43,0.00,c,9
3.46,177.10,0.00,29.55,0.00,a,3.26,149.40,-4.84,30.00,0.00,c,10
3.33,136.80,0.00,22.49,0.00,a,3.32,141.83,1.21,22.56,0.00,c,11
3.25,179.34,0.00,30.00,0.00,a,3.49,148.60,-4.78,29.96,0.00,c,12
3.36,155.52,0.00,19.19,0.00,a,3.26,151.39,1.39,18.90,0.00,c,13
3.55,174.30,0.00,24.22,0.00,a,3.25,134.51,-4.68,25.07,0.00,c,14
3.25,155.36,0.00,21.55,0.00,a,3.39,159.35,1.32,21.47,0.00,c,15
3.27,149.62,0.00,20.02,0.00,a,3.36,148.96,1.37,19.88,0.00,c,16
3.36,145.19,0.00,22.11,0.00,a,3.29,153.52,1.27,22.38,0.00,c,17
3.39,180.68,0.00,22.88,0.00,a,3.45,136.09,-4.59,23.26,0.00,c,18
3.25,148.80,0.00,22.19,0.00,a,3.44,147.28,1.16,22.01,0.00,c,19
3.42,146.21,0.00,22.64,0.00,a,3.25,154.40,1.18,22.99,0.00,c,20
3.30,152.86,0.00,20.31,0.00,a,3.33,152.77,1.35,20.17,0.00,c,21
3.27,162.72,0.00,20.25,0.00,a,3.36,161.66,1.37,20.05,0.00,c,22
3.35,139.48,0.00,10.00,0.00,a,3.63,172.68,-4.55,10.00,0.00,c,23
3.27,135.75,0.00,26.69,0.00,a,3.43,163.64,1.16,27.25,0.00,c,24
3.37,154.33,0.00,22.15,0.00,a,3.29,161.50,1.25,22.47,0.00,c,25
3.47,157.04,0.00,23.15,0.00,a,3.25,158.02,1.07,23.20,0.00,c,26
3.35,160.07,0.00,21.47,0.00,a,3.31,162.33,1.29,21.44,0.00,c,27
3.40,142.43,0.00,21.92,0.00,a,3.25,148.01,1.21,22.03,0.00,c,28
3.70,143.63,0.00,10.00,0.00,a,3.30,184.43,-4.68,10.64,0.00,c,29
3.35,153.93,0.00,19.66,0.00,a,3.27,151.92,1.37,19.53,0.00,c,30
3.28,141.86,0.00,23.30,0.00,a,3.37,159.43,1.29,23.56,0.00,c,31
3.25,131.70,0.00,10.29,0.00,a,3.76,170.80,-4.53,10.00,0.00,c,32
3.42,171.05,0.00,23.82,0.00,a,3.41,132.85,-4.64,25.37,0.00,c,33
3.30,166.98,0.00,16.81,0.00,a,3.31,155.28,1.52,16.37,0.00,c,34
3.34,136.77,0.00,22.53,0.00,a,3.32,140.99,1.18,22.66,0.00,c,35
3.25,141.27,0.00,20.98,0.00,a,3.41,140.31,1.28,20.97,0.00,c,36
3.27,154.59,0.00,20.45,0.00,a,3.37,153.77,1.35,20.20,0.00,c,37
3.25,133.15,0.00,20.47,0.00,a,3.40,131.45,1.30,20.56,0.00,c,38
3.25,130.58,0.00,10.49,0.00,a,3.76,166.74,-4.52,10.01,0.00,c,39
3.32,143.36,0.00,21.33,0.00,a,3.34,143.55,1.23,21.28,0.00,c,40
3.25,150.38,0.00,24.20,0.00,a,3.46,157.16,1.11,24.19,0.00,c,41
3.63,137.70,0.00,10.00,0.00,a,3.36,171.81,-4.67,10.06,0.00,c,42
3.38,149.37,0.00,19.18,0.00,a,3.25,145.44,1.37,19.08,0.00,c,43
3.40,151.57,0.00,22.99,0.00,a,3.27,158.28,1.16,23.06,0.00,c,44
3.35,144.78,0.00,11.96,0.00,a,3.63,179.28,-4.68,11.61,0.00,c,45
3.37,136.16,0.00,20.96,0.00,a,3.25,140.69,1.30,21.21,0.00,c,46
3.42,151.11,0.00,23.32,0.00,a,3.26,158.10,1.15,23.28,0.00,c,47
3.25,172.69,0.00,27.71,0.00,a,3.51,140.07,-4.72,28.42,0.00,c,48
3.51,189.23,0.00,22.10,0.00,a,3.34,138.53,-4.58,22.18,0.00,c,49
