n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
2,2,1.00,34.94,27.41,28.86,32.99,0
2,2,1.00,34.69,27.35,33.51,27.91,1
2,2,1.00,34.94,27.41,28.96,32.97,2
2,2,1.00,35.04,27.39,29.13,33.05,3
2,2,1.00,34.98,27.40,28.98,33.03,4
2,2,1.00,34.75,27.36,33.54,28.06,5
2,2,1.00,34.94,27.40,29.02,32.88,6
2,2,1.00,35.06,27.38,29.18,33.04,7
2,2,1.00,34.90,27.40,28.94,32.79,8
2,2,1.00,34.93,27.38,29.00,32.65,9
2,2,1.00,34.97,27.40,28.88,33.06,10
2,2,1.00,34.98,27.36,29.09,32.65,11
2,2,1.00,34.91,27.41,28.92,32.93,12
2,2,1.00,34.95,27.40,28.98,32.97,13
2,2,1.00,34.97,27.38,28.98,32.75,14
2,2,1.00,35.03,27.40,29.05,33.14,15
2,2,1.00,34.97,27.39,29.00,32.88,16
2,2,1.00,34.96,27.37,28.99,32.70,17
2,2,1.00,35.03,27.40,29.05,33.08,18
2,2,1.00,35.04,27.39,29.12,33.01,19
2,2,1.00,34.97,27.38,29.05,32.78,20
2,2,1.00,34.93,27.40,28.94,32.92,21
2,2,1.00,35.04,27.40,29.06,33.13,22
2,2,1.00,35.05,27.39,29.11,33.11,23
2,2,1.00,34.96,27.40,29.03,32.91,24
2,2,1.00,35.15,27.44,33.22,29.42,25
2,2,1.00,35.03,27.39,29.12,33.00,26
2,2,1.00,34.70,27.36,33.44,28.02,27
2,2,1.00,34.81,27.35,33.61,28.06,28
2,2,1.00,34.92,27.40,28.92,32.85,29
2,2,1.00,35.00,27.40,29.08,32.97,30
2,2,1.00,34.99,27.39,29.04,32.91,31
2,2,1.00,34.93,27.40,28.95,32.85,32
2,2,1.00,34.76,27.34,33.58,27.96,33
2,2,1.00,35.04,27.40,28.93,33.25,34
2,2,1.00,35.08,27.39,29.19,33.18,35
2,2,1.00,35.10,27.39,29.12,33.24,36
2,2,1.00,34.91,27.40,28.93,32.75,37
2,2,1.00,35.07,27.38,29.25,32.96,38
2,2,1.00,34.91,27.40,28.99,32.78,39
2,2,1.00,34.94,27.39,29.00,32.72,40
2,2,1.00,35.01,27.39,29.04,32.98,41
2,2,1.00,34.93,27.41,28.93,32.97,42
2,2,1.00,34.95,27.41,28.91,32.99,43
2,2,1.00,35.06,27.38,28.99,33.08,44
2,2,1.00,35.01,27.40,28.91,33.15,45
2,2,1.00,35.00,27.39,29.02,32.91,46
2,2,1.00,35.07,27.40,29.06,33.24,47
2,2,1.00,35.03,27.39,29.13,33.05,48
2,2,1.00,34.99,27.40,28.98,33.06,49
