r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.46,163.60,0.00,23.43,0.00,d,3.38,150.62,1.41,22.40,0.00,f,0
3.26,174.41,0.00,29.70,0.00,d,3.49,164.44,1.30,29.49,0.00,f,1
3.43,178.01,0.00,26.10,0.00,d,3.39,164.91,1.24,25.96,0.00,f,2
3.47,161.82,0.00,28.78,0.00,d,3.25,154.43,1.15,29.33,0.00,f,3
3.32,135.47,0.00,21.43,0.00,d,3.31,136.37,-3.19,21.24,0.00,f,4
3.35,145.92,0.00,23.98,0.00,d,3.31,149.61,-3.33,23.79,0.00,f,5
3.36,171.80,0.00,29.67,0.00,d,3.37,161.99,1.33,30.00,0.00,f,6
3.30,154.85,0.00,21.81,0.00,d,3.35,155.81,-3.20,21.53,0.00,f,7
3.61,151.35,0.00,10.01,0.00,d,3.41,164.50,1.29,10.01,0.00,f,8
3.29,153.18,0.00,22.33,0.00,d,3.37,154.17,-3.21,21.90,0.00,f,9
3.25,164.88,0.00,10.25,0.00,d,3.75,181.51,1.63,10.00,0.00,f,10
3.34,158.44,0.00,10.00,0.00,d,3.70,174.59,1.66,10.00,0.00,f,11
3.56,164.10,0.00,10.00,0.00,d,3.46,180.70,1.42,10.05,0.00,f,12
3.48,150.63,0.00,25.77,0.00,d,3.25,157.48,-3.55,25.72,0.00,f,13
3.25,160.48,0.00,16.48,0.00,d,3.38,157.23,-2.93,16.11,0.00,f,14
3.53,161.60,0.00,10.00,0.00,d,3.49,176.68,1.43,10.01,0.00,f,15
3.47,177.63,0.00,29.84,0.00,d,3.29,168.14,1.22,29.82,0.00,f,16
3.41,162.25,0.00,10.00,0.00,d,3.62,178.73,1.61,10.00,0.00,f,17
3.43,171.86,0.00,24.44,0.00,d,3.40,158.41,1.33,23.25,0.00,f,18
3.30,168.32,0.00,10.00,0.00,d,3.72,186.11,1.69,10.00,0.00,f,19
3.41,169.52,0.00,21.41,0.00,d,3.25,169.42,-3.28,21.30,0.00,f,20
3.35,150.04,0.00,18.60,0.00,d,3.26,148.67,-3.12,18.17,0.00,f,21
3.37,157.76,0.00,19.09,0.00,d,3.25,156.55,-3.15,18.67,0.00,f,22
3.40,169.71,0.00,29.54,0.00,d,3.34,161.36,1.19,30.00,0.00,f,23
3.29,163.30,0.00,16.02,0.00,d,3.33,159.66,-2.95,15.67,0.00,f,24
3.35,179.96,0.00,21.23,0.00,d,3.31,179.93,-3.23,21.24,0.00,f,25
3.26,132.38,0.00,19.37,0.00,d,3.35,132.29,-3.05,19.40,0.00,f,26
3.32,153.48,0.00,18.24,0.00,d,3.29,152.00,-3.07,17.93,0.00,f,27
3.42,180.91,0.00,25.36,0.00,d,3.38,167.27,1.34,24.80,0.00,f,28
3.25,164.43,0.00,10.50,0.00,d,3.80,182.68,1.77,10.01,0.00,f,29
3.27,157.57,0.00,21.21,0.00,d,3.38,157.89,-3.16,20.90,0.00,f,30
3.30,178.73,0.00,24.73,0.00,d,3.50,163.75,1.38,24.37,0.00,f,31
3.49,152.71,0.00,21.65,0.00,d,3.40,140.40,1.42,19.71,0.00,f,32
3.33,151.40,0.00,10.06,0.00,d,3.70,165.26,1.57,10.02,0.00,f,33
3.46,152.96,0.00,30.00,0.00,d,3.27,146.81,1.10,30.00,0.00,f,34
3.25,168.44,0.00,11.60,0.00,d,3.39,161.37,-2.78,12.38,0.00,f,35
3.28,155.25,0.00,18.42,0.00,d,3.35,153.65,-3.05,18.07,0.00,f,36
3.29,125.81,0.00,22.02,0.00,d,3.33,127.84,-3.18,21.74,0.00,f,37
3.28,141.22,0.00,19.71,0.00,d,3.33,141.19,-3.09,19.45,0.00,f,38
3.34,149.01,0.00,11.08,0.00,d,3.69,162.46,1.44,10.10,0.00,f,39
3.40,165.83,0.00,29.27,0.00,d,3.37,156.52,1.23,28.66,0.00,f,40
3.26,153.79,0.00,10.20,0.00,d,3.76,168.62,1.69,10.00,0.00,f,41
3.68,172.37,0.00,27.84,0.00,d,3.25,158.21,0.85,25.23,0.00,f,42
3.28,157.82,0.00,20.06,0.00,d,3.41,154.77,-3.22,19.72,0.00,f,43
3.47,178.17,0.00,28.40,0.00,d,3.31,167.06,1.22,28.61,0.00,f,44
3.62,132.37,0.00,20.65,0.00,d,3.25,123.51,1.21,20.49,0.00,f,45
3.35,148.20,0.00,21.32,0.00,d,3.28,150.05,-3.22,20.85,0.00,f,46
3.41,160.98,0.00,26.95,0.00,d,3.37,151.15,1.31,26.39,0.00,f,47
3.26,163.62,0.00,30.00,0.00,d,3.50,155.80,1.24,30.00,0.00,f,48
3.32,142.94,0.00,21.39,0.00,d,3.31,144.05,-3.21,21.19,0.00,f,49
