n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
26,24,0.92,174.54,170.41,172.97,172.14,0
26,24,0.92,174.90,170.54,173.07,172.54,1
26,24,0.92,174.81,170.65,173.10,172.54,2
26,24,0.92,174.49,170.55,172.91,172.28,3
26,24,0.92,174.00,170.20,168.03,176.20,4
26,24,0.92,174.26,170.45,168.27,176.56,5
26,24,0.92,174.77,170.58,173.14,172.38,6
26,24,0.92,174.52,170.54,168.51,176.70,7
26,24,0.92,174.11,170.71,173.13,171.89,8
26,24,0.92,174.50,170.49,168.44,176.69,9
26,24,0.92,174.76,170.78,173.54,172.17,10
26,24,0.92,174.56,170.69,173.48,171.96,11
26,24,0.92,174.46,170.95,173.51,172.08,12
26,24,0.92,174.23,170.62,168.28,176.73,13
26,24,0.92,174.68,170.58,168.81,176.62,14
26,24,0.92,174.44,170.87,173.45,172.05,15
26,24,0.92,174.77,170.75,173.22,172.48,16
26,24,0.92,174.56,170.82,173.56,172.00,17
26,24,0.92,174.71,170.53,173.05,172.37,18
26,24,0.92,174.78,170.88,173.70,172.12,19
26,24,0.92,174.69,170.84,168.78,176.93,20
26,24,0.92,174.36,170.50,168.50,176.49,21
26,24,0.92,174.51,170.65,168.67,176.66,22
26,24,0.92,174.70,170.59,173.01,172.45,23
26,24,0.92,174.69,170.66,168.88,176.65,24
26,24,0.92,174.90,170.97,168.95,177.08,25
26,24,0.92,173.98,170.09,167.99,176.07,26
26,24,0.92,174.47,170.54,168.61,176.55,27
26,24,0.92,174.86,170.70,173.26,172.48,28
26,24,0.92,174.75,170.77,173.67,172.03,29
26,24,0.92,174.60,170.56,168.58,176.75,30
26,24,0.92,174.92,170.55,173.13,172.52,31
26,24,0.92,174.27,170.21,172.67,171.90,32
26,24,0.92,174.42,170.51,173.20,171.93,33
26,24,0.92,174.32,170.39,172.65,172.16,34
26,24,0.92,174.82,170.66,169.05,176.62,35
26,24,0.92,174.55,170.52,168.62,176.60,36
26,24,0.92,173.69,169.99,167.72,175.91,37
26,24,0.92,174.22,170.29,168.26,176.32,38
26,24,0.92,174.35,170.45,173.01,171.99,39
26,24,0.92,174.64,170.50,172.94,172.36,40
26,24,0.92,174.54,170.53,173.34,171.92,41
26,24,0.92,174.50,170.64,172.70,172.62,42
26,24,0.92,174.60,170.48,168.42,176.82,43
26,24,0.92,174.78,170.72,173.18,172.50,44
26,24,0.92,173.47,169.99,172.03,171.33,45
26,24,0.92,174.32,170.50,168.42,176.52,46
26,24,0.92,174.53,170.40,172.88,172.20,47
26,24,0.92,174.73,170.36,172.80,172.45,48
26,24,0.92,174.21,170.36,168.24,176.42,49
