r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.31,168.02,0.00,27.69,0.00,e,3.47,150.73,2.80,28.73,0.00,g,0
3.36,155.43,0.00,19.36,0.00,e,3.26,154.02,-1.63,19.15,0.00,g,1
3.26,159.29,0.00,15.46,0.00,e,3.38,151.56,-1.43,15.04,0.00,g,2
3.32,130.56,0.00,23.02,0.00,e,3.36,131.65,-1.90,22.93,0.00,g,3
3.25,153.38,0.00,22.67,0.00,e,3.43,154.60,-1.79,22.50,0.00,g,4
3.43,158.30,0.00,22.80,0.00,e,3.25,160.12,-1.88,22.83,0.00,g,5
3.31,135.10,0.00,21.53,0.00,e,3.32,136.90,-1.73,21.36,0.00,g,6
3.25,140.16,0.00,20.24,0.00,e,3.35,141.56,-1.60,20.08,0.00,g,7
3.41,159.39,0.00,29.74,0.00,e,3.34,145.89,2.70,29.70,0.00,g,8
3.25,139.73,0.00,26.15,0.00,e,3.54,127.42,2.85,26.93,0.00,g,9
3.25,175.16,0.00,21.57,0.00,e,3.43,174.69,-1.74,21.65,0.00,g,10
3.39,161.57,0.00,21.49,0.00,e,3.26,164.36,-1.73,21.42,0.00,g,11
3.56,142.75,0.00,27.02,0.00,e,3.25,129.34,2.70,27.19,0.00,g,12
3.62,139.19,0.00,10.00,0.00,e,3.41,162.55,2.78,10.15,0.00,g,13
3.37,149.74,0.00,22.11,0.00,e,3.27,155.10,-1.75,22.19,0.00,g,14
3.26,155.60,0.00,19.84,0.00,e,3.37,154.73,-1.61,19.64,0.00,g,15
3.35,155.44,0.00,17.83,0.00,e,3.26,152.28,-1.56,17.51,0.00,g,16
3.25,143.25,0.00,20.16,0.00,e,3.37,144.14,-1.61,19.94,0.00,g,17
3.25,172.02,0.00,27.22,0.00,e,3.52,153.59,2.85,28.64,0.00,g,18
3.29,142.35,0.00,22.96,0.00,e,3.36,146.86,-1.75,22.89,0.00,g,19
3.38,148.84,0.00,21.57,0.00,e,3.26,152.62,-1.73,21.38,0.00,g,20
3.41,135.12,0.00,20.96,0.00,e,3.25,134.01,-1.80,20.75,0.00,g,21
3.34,144.07,0.00,22.10,0.00,e,3.33,145.33,-1.80,21.92,0.00,g,22
3.39,183.53,0.00,22.04,0.00,e,3.28,187.75,-1.76,22.46,0.00,g,23
3.25,168.71,0.00,21.24,0.00,e,3.39,169.74,-1.65,21.25,0.00,g,24
3.30,162.80,0.00,21.49,0.00,e,3.35,163.76,-1.71,21.44,0.00,g,25
3.25,158.22,0.00,23.47,0.00,e,3.44,162.31,-1.81,23.38,0.00,g,26
3.64,144.77,0.00,10.00,0.00,e,3.41,173.60,2.83,10.12,0.00,g,27
3.36,150.79,0.00,18.99,0.00,e,3.25,149.40,-1.61,18.76,0.00,g,28
3.41,146.89,0.00,22.82,0.00,e,3.25,151.78,-1.83,22.68,0.00,g,29
3.33,153.01,0.00,29.94,0.00,e,3.41,142.13,2.75,29.52,0.00,g,30
3.35,145.16,0.00,17.51,0.00,e,3.26,142.15,-1.55,17.09,0.00,g,31
3.25,148.75,0.00,10.00,0.00,e,3.78,179.24,3.07,10.02,0.00,g,32
3.32,153.29,0.00,21.19,0.00,e,3.31,155.33,-1.70,21.21,0.00,g,33
3.25,146.67,0.00,21.75,0.00,e,3.44,145.79,-1.78,21.54,0.00,g,34
3.46,164.83,0.00,28.42,0.00,e,3.31,148.57,2.62,28.61,0.00,g,35
3.39,147.73,0.00,21.92,0.00,e,3.25,151.23,-1.78,22.04,0.00,g,36
3.64,153.48,0.00,19.06,0.00,e,3.25,131.33,2.90,18.49,0.00,g,37
3.65,145.72,0.00,10.06,0.00,e,3.38,171.96,2.83,11.14,0.00,g,38
3.39,139.91,0.00,22.34,0.00,e,3.25,144.80,-1.80,22.39,0.00,g,39
3.31,132.49,0.00,20.92,0.00,e,3.33,133.45,-1.71,20.85,0.00,g,40
3.25,143.01,0.00,20.09,0.00,e,3.37,143.44,-1.61,19.89,0.00,g,41
3.32,158.00,0.00,19.77,0.00,e,3.33,155.96,-1.65,19.55,0.00,g,42
3.34,162.19,0.00,20.94,0.00,e,3.31,162.59,-1.70,20.89,0.00,g,43
3.37,151.71,0.00,18.60,0.00,e,3.25,149.14,-1.61,18.30,0.00,g,44
3.26,131.75,0.00,17.71,0.00,e,3.34,129.79,-1.51,17.62,0.00,g,45
3.44,162.83,0.00,30.00,0.00,e,3.32,149.00,2.68,29.99,0.00,g,46
3.34,139.47,0.00,10.02,0.00,e,3.68,165.14,2.88,10.00,0.00,g,47
3.32,149.26,0.00,30.00,0.00,e,3.43,138.74,2.72,29.78,0.00,g,48
3.25,148.39,0.00,20.58,0.00,e,3.41,146.84,-1.70,20.28,0.00,g,49
