r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.32,142.74,0.00,22.29,0.00,d,3.32,147.27,2.80,21.99,0.00,e,0
3.29,162.18,0.00,24.34,0.00,d,3.38,169.26,2.75,24.01,0.00,e,1
3.42,138.96,0.00,24.05,0.00,d,3.25,144.77,2.60,23.62,0.00,e,2
3.36,168.90,0.00,30.00,0.00,d,3.38,154.37,-3.34,30.00,0.00,e,3
3.50,158.38,0.00,25.50,0.00,d,3.31,139.41,-3.19,23.97,0.00,e,4
3.32,165.10,0.00,19.18,0.00,d,3.33,162.17,2.91,18.90,0.00,e,5
3.41,154.70,0.00,29.88,0.00,d,3.35,141.17,-3.29,28.72,0.00,e,6
3.43,152.10,0.00,21.46,0.00,d,3.25,150.35,2.68,20.99,0.00,e,7
3.44,166.99,0.00,24.36,0.00,d,3.25,174.84,2.66,24.28,0.00,e,8
3.25,140.45,0.00,10.24,0.00,d,3.81,167.63,-2.90,10.00,0.00,e,9
3.37,154.84,0.00,23.50,0.00,d,3.29,161.40,2.73,23.33,0.00,e,10
3.52,146.17,0.00,27.06,0.00,d,3.26,131.73,-3.26,25.68,0.00,e,11
3.37,157.15,0.00,10.01,0.00,d,3.67,190.04,-2.95,10.00,0.00,e,12
3.41,127.00,0.00,10.00,0.00,d,3.63,147.31,-3.05,10.00,0.00,e,13
3.44,146.97,0.00,23.21,0.00,d,3.25,150.75,2.58,23.16,0.00,e,14
3.41,160.61,0.00,21.24,0.00,d,3.28,157.71,2.69,20.77,0.00,e,15
3.32,160.07,0.00,19.38,0.00,d,3.32,159.24,2.91,19.14,0.00,e,16
3.30,156.23,0.00,22.46,0.00,d,3.39,156.73,2.71,22.07,0.00,e,17
3.41,170.42,0.00,15.91,0.00,d,3.25,160.01,2.99,14.99,0.00,e,18
3.35,159.63,0.00,20.37,0.00,d,3.28,158.99,2.86,19.98,0.00,e,19
3.42,150.50,0.00,19.51,0.00,d,3.25,146.31,2.78,18.87,0.00,e,20
3.25,136.43,0.00,13.50,0.00,d,3.83,161.83,-3.03,11.84,0.00,e,21
3.65,136.49,0.00,10.00,0.00,d,3.41,163.21,-3.20,10.02,0.00,e,22
3.25,165.56,0.00,22.86,0.00,d,3.43,167.36,2.76,22.60,0.00,e,23
3.27,150.54,0.00,20.27,0.00,d,3.35,150.27,2.88,19.83,0.00,e,24
3.37,148.66,0.00,17.86,0.00,d,3.25,145.40,2.94,17.43,0.00,e,25
3.34,161.63,0.00,19.03,0.00,d,3.34,155.87,2.85,18.52,0.00,e,26
3.31,154.16,0.00,10.00,0.00,d,3.73,186.66,-2.90,10.00,0.00,e,27
3.35,148.34,0.00,23.59,0.00,d,3.35,151.16,2.63,23.32,0.00,e,28
3.28,161.14,0.00,23.89,0.00,d,3.41,164.62,2.71,23.61,0.00,e,29
3.36,150.90,0.00,19.54,0.00,d,3.29,147.59,2.82,19.05,0.00,e,30
3.36,163.27,0.00,17.87,0.00,d,3.27,158.37,2.95,17.30,0.00,e,31
3.31,159.71,0.00,19.28,0.00,d,3.31,158.47,2.94,18.95,0.00,e,32
3.30,144.18,0.00,29.99,0.00,d,3.44,133.68,-3.28,29.84,0.00,e,33
3.40,169.24,0.00,23.06,0.00,d,3.26,175.14,2.74,22.85,0.00,e,34
3.47,171.69,0.00,17.56,0.00,d,3.25,160.61,2.85,16.48,0.00,e,35
3.32,151.74,0.00,24.04,0.00,d,3.37,156.03,2.69,23.75,0.00,e,36
3.25,177.28,0.00,30.00,0.00,d,3.51,159.77,-3.28,30.00,0.00,e,37
3.45,163.39,0.00,17.39,0.00,d,3.25,152.54,2.86,16.15,0.00,e,38
3.27,166.47,0.00,21.87,0.00,d,3.38,168.51,2.84,21.58,0.00,e,39
3.32,165.19,0.00,16.61,0.00,d,3.60,137.71,-2.85,15.66,0.00,e,40
3.25,160.76,0.00,30.00,0.00,d,3.50,147.38,-3.27,29.97,0.00,e,41
3.33,160.59,0.00,10.01,0.00,d,3.69,193.69,-2.91,10.00,0.00,e,42
3.25,144.78,0.00,10.01,0.00,d,3.82,175.65,-2.76,10.01,0.00,e,43
3.28,138.23,0.00,21.23,0.00,d,3.37,138.48,2.79,20.78,0.00,e,44
3.40,149.95,0.00,23.23,0.00,d,3.27,154.89,2.67,23.02,0.00,e,45
3.36,157.92,0.00,18.95,0.00,d,3.25,156.03,2.93,18.51,0.00,e,46
3.52,171.28,0.00,27.69,0.00,d,3.25,151.02,-3.25,26.00,0.00,e,47
3.49,156.36,0.00,29.99,0.00,d,3.25,142.51,-3.33,28.93,0.00,e,48
3.25,156.03,0.00,27.63,0.00,d,3.54,139.49,-3.23,27.17,0.00,e,49
