n_XL_cov,n_XL_sat,frac_XL_sat,b1-e1,b2-e2,b1-b2,e1-e2,model
2,2,1.00,18.63,29.05,29.73,19.03,0
2,2,1.00,18.61,29.06,29.85,18.95,1
2,2,1.00,18.62,29.03,29.60,19.04,2
2,2,1.00,18.60,29.03,29.63,18.94,3
2,2,1.00,18.62,29.06,29.85,18.95,4
2,2,1.00,18.63,29.07,29.99,18.91,5
2,2,1.00,18.62,29.04,29.82,18.87,6
2,2,1.00,18.63,29.07,29.81,19.06,7
2,2,1.00,18.63,29.07,29.98,18.88,8
2,2,1.00,18.61,29.06,29.87,18.92,9
2,2,1.00,18.61,29.05,29.75,18.98,10
2,2,1.00,18.64,29.07,30.09,18.82,11
2,2,1.00,18.62,29.05,29.94,18.81,12
2,2,1.00,18.63,29.07,30.00,18.86,13
2,2,1.00,18.63,29.06,29.87,18.94,14
2,2,1.00,18.64,29.01,33.52,14.56,15
2,2,1.00,18.63,29.05,29.93,18.85,16
2,2,1.00,18.62,28.96,33.30,14.48,17
2,2,1.00,18.64,29.06,29.99,18.85,18
2,2,1.00,18.65,29.07,30.04,18.91,19
2,2,1.00,18.61,29.05,29.75,18.95,20
2,2,1.00,18.59,29.07,29.87,18.92,21
2,2,1.00,18.64,29.06,30.03,18.83,22
2,2,1.00,18.60,29.05,29.76,18.97,23
2,2,1.00,18.57,29.05,29.59,19.05,24
2,2,1.00,18.64,29.07,30.08,18.85,25
2,2,1.00,18.64,29.06,29.96,18.88,26
2,2,1.00,18.60,29.04,29.66,19.04,27
2,2,1.00,18.62,29.06,29.84,18.96,28
2,2,1.00,18.63,29.04,29.82,18.90,29
2,2,1.00,18.65,29.07,30.13,18.80,30
2,2,1.00,18.62,29.04,29.84,18.84,31
2,2,1.00,18.62,29.06,29.87,18.91,32
2,2,1.00,18.65,29.08,30.11,18.85,33
2,2,1.00,18.63,29.06,29.96,18.86,34
2,2,1.00,18.64,29.06,29.92,18.95,35
2,2,1.00,18.65,29.07,30.11,18.82,36
2,2,1.00,18.61,29.06,29.89,18.91,37
2,2,1.00,18.64,29.07,30.07,18.84,38
2,2,1.00,18.63,29.06,29.86,18.97,39
2,2,1.00,18.64,29.07,30.03,18.89,40
2,2,1.00,18.62,29.05,29.84,18.93,41
2,2,1.00,18.65,29.07,29.91,18.98,42
2,2,1.00,18.59,29.05,29.69,18.97,43
2,2,1.00,18.61,29.03,29.74,18.87,44
2,2,1.00,18.61,29.03,29.76,18.84,45
2,2,1.00,18.64,29.07,29.93,18.96,46
2,2,1.00,18.61,29.06,29.87,18.89,47
2,2,1.00,18.63,29.06,29.86,18.96,48
2,2,1.00,18.60,29.06,29.75,18.98,49
