r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.41,147.61,0.00,21.79,0.00,f,3.29,140.07,-1.87,21.38,0.00,f,0
3.42,137.79,0.00,23.43,0.00,f,3.25,154.53,-1.86,23.29,0.00,f,1
3.47,141.09,0.00,22.95,0.00,f,3.25,134.92,-1.91,22.59,0.00,f,2
3.26,128.33,0.00,21.46,0.00,f,3.39,130.01,-1.78,21.32,0.00,f,3
3.25,141.76,0.00,22.84,0.00,f,3.42,150.81,-1.82,22.60,0.00,f,4
3.39,150.50,0.00,22.92,0.00,f,3.28,161.53,-1.79,22.91,0.00,f,5
3.25,135.39,0.00,20.56,0.00,f,3.38,135.85,-1.69,20.39,0.00,f,6
3.41,149.06,0.00,23.54,0.00,f,3.29,158.04,-1.95,23.49,0.00,f,7
3.29,143.80,0.00,22.05,0.00,f,3.36,155.15,-1.74,21.80,0.00,f,8
3.28,134.19,0.00,24.20,0.00,f,3.38,158.87,-1.85,24.00,0.00,f,9
3.36,132.64,0.00,23.66,0.00,f,3.32,148.78,-1.89,23.55,0.00,f,10
3.29,153.57,0.00,20.02,0.00,f,3.34,151.25,-1.63,19.51,0.00,f,11
3.32,137.76,0.00,19.22,0.00,f,3.29,135.67,-1.61,19.06,0.00,f,12
3.37,149.17,0.00,20.95,0.00,f,3.27,150.95,-1.71,20.81,0.00,f,13
3.26,148.79,0.00,21.29,0.00,f,3.41,146.22,-1.77,20.98,0.00,f,14
3.31,170.25,0.00,30.00,0.00,f,3.26,139.73,2.50,28.75,0.00,f,15
3.29,141.99,0.00,19.94,0.00,f,3.34,139.95,-1.65,19.76,0.00,f,16
3.25,152.22,0.00,29.99,0.00,f,3.40,122.93,2.60,29.53,0.00,f,17
3.31,149.06,0.00,19.89,0.00,f,3.32,144.28,-1.65,19.61,0.00,f,18
3.44,166.18,0.00,20.09,0.00,f,3.25,150.89,-1.71,19.10,0.00,f,19
3.38,131.71,0.00,22.70,0.00,f,3.28,143.58,-1.85,22.73,0.00,f,20
3.33,126.82,0.00,24.62,0.00,f,3.35,163.14,-1.88,25.21,0.00,f,21
3.33,148.15,0.00,20.06,0.00,f,3.30,147.15,-1.64,19.78,0.00,f,22
3.27,131.59,0.00,24.56,0.00,f,3.40,152.86,-1.89,24.37,0.00,f,23
3.46,122.37,0.00,27.02,0.00,f,3.25,156.17,-2.08,27.33,0.00,f,24
3.38,156.44,0.00,20.68,0.00,f,3.25,156.54,-1.69,20.50,0.00,f,25
3.37,149.37,0.00,20.93,0.00,f,3.29,147.75,-1.72,20.72,0.00,f,26
3.43,132.49,0.00,23.60,0.00,f,3.26,144.88,-1.95,23.75,0.00,f,27
3.25,142.50,0.00,23.13,0.00,f,3.43,152.84,-1.84,22.90,0.00,f,28
3.32,140.65,0.00,20.36,0.00,f,3.33,134.66,-1.70,19.79,0.00,f,29
3.36,157.29,0.00,18.91,0.00,f,3.26,148.50,-1.59,18.36,0.00,f,30
3.26,135.06,0.00,19.55,0.00,f,3.36,131.49,-1.63,19.21,0.00,f,31
3.25,141.50,0.00,22.73,0.00,f,3.42,149.98,-1.78,22.79,0.00,f,32
3.25,160.54,0.00,20.89,0.00,f,3.39,160.94,-1.68,20.69,0.00,f,33
3.31,144.18,0.00,20.66,0.00,f,3.32,146.22,-1.69,20.52,0.00,f,34
3.43,154.64,0.00,21.84,0.00,f,3.25,151.58,-1.80,21.51,0.00,f,35
3.31,157.31,0.00,19.90,0.00,f,3.32,153.25,-1.63,19.60,0.00,f,36
3.30,134.32,0.00,23.84,0.00,f,3.36,157.28,-1.82,23.52,0.00,f,37
3.39,155.67,0.00,19.98,0.00,f,3.25,151.74,-1.66,19.89,0.00,f,38
3.36,146.19,0.00,23.05,0.00,f,3.32,155.11,-1.86,22.97,0.00,f,39
3.39,151.90,0.00,21.32,0.00,f,3.26,156.60,-1.74,21.20,0.00,f,40
3.29,141.32,0.00,21.74,0.00,f,3.37,144.23,-1.78,21.62,0.00,f,41
3.44,158.42,0.00,21.77,0.00,f,3.25,151.70,-1.82,21.20,0.00,f,42
3.32,125.86,0.00,24.53,0.00,f,3.36,148.39,-1.91,24.56,0.00,f,43
3.27,128.45,0.00,20.50,0.00,f,3.36,130.22,-1.69,20.39,0.00,f,44
3.36,127.37,0.00,19.92,0.00,f,3.25,127.78,-1.66,19.79,0.00,f,45
3.36,155.98,0.00,22.29,0.00,f,3.33,155.92,-1.82,22.04,0.00,f,46
3.36,132.34,0.00,22.65,0.00,f,3.29,149.39,-1.79,22.64,0.00,f,47
3.25,145.78,0.00,22.83,0.00,f,3.43,154.01,-1.83,22.66,0.00,f,48
3.42,132.82,0.00,24.38,0.00,f,3.25,153.01,-1.92,24.69,0.00,f,49
